source_id,mc_id_1,mc_id_2,mc_id_3,mc_id_4,particle_name_raw,particle_name_norm,mass_GeV_c2,mass_MeV_c2,mass_pos_error_GeV_c2,mass_pos_error_MeV_c2,mass_neg_error_GeV_c2,mass_neg_error_MeV_c2,width_GeV,width_MeV,width_pos_error_GeV,width_pos_error_MeV,width_neg_error_GeV,width_neg_error_MeV,unit_assumption,raw_line,cleaned_utc
PDG_MASS_WIDTH_2025,10111,10211,,,"a(0)(1450) 0,+","a(0)(1450) 0,+",1.439,1439,0.034,34,-0.034,-34,0.258,258,0.014,14,-0.014,-14,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"10111   10211                  1.439E+00         +3.4E-02 -3.4E-02  2.58E-01          +1.4E-02 -1.4E-02 a(0)(1450)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100113,100213,,,"rho(1450) 0,+","rho(1450) 0,+",1.465,1465,0.025,25,-0.025,-25,0.4,400,0.06,60,-0.06,-60,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"100113  100213                  1.465E+00         +2.5E-02 -2.5E-02  4.0E-01           +6.0E-02 -6.0E-02 rho(1450)         0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100331,,,,eta(1475) 0,eta(1475) 0,1.476,1476,0.004,4,-0.004,-4,0.096,96,0.009,9,-0.009,-9,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100331                          1.476E+00         +4.0E-03 -4.0E-03  9.6E-02           +9.0E-03 -9.0E-03 eta(1475)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9030221,,,,f(0)(1500) 0,f(0)(1500) 0,1.522,1522,0.025,25,-0.025,-25,0.108,108,0.033,33,-0.033,-33,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9030221                          1.522E+00         +2.5E-02 -2.5E-02  1.08E-01          +3.3E-02 -3.3E-02 f(0)(1500)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,335,,,,f(2)'(1525) 0,f(2)'(1525) 0,1.5173,1517.3,0.0024,2.4,-0.0024,-2.4,0.072,72,0.007,7,-0.006,-6,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,335                          1.5173E+00        +2.4E-03 -2.4E-03  7.2E-02           +7.0E-03 -6.0E-03 f(2)'(1525)         0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010225,,,,f(2)(1565) 0,f(2)(1565) 0,1.571,1571,0.013,13,-0.013,-13,0.133,133,0.023,23,-0.023,-23,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9010225                          1.571E+00         +1.3E-02 -1.3E-02  1.33E-01          +2.3E-02 -2.3E-02 f(2)(1565)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010113,9010213,,,"pi(1)(1600) 0,+","pi(1)(1600) 0,+",1.645,1645,0.04,40,-0.017,-17,0.37,370,0.05,50,-0.06,-60,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9010113 9010213                  1.645E+00         +4.0E-02 -1.7E-02  3.7E-01           +5.0E-02 -6.0E-02 pi(1)(1600)       0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9020113,9020213,,,"a(1)(1640) 0,+","a(1)(1640) 0,+",1.655,1655,0.016,16,-0.016,-16,0.25,250,0.04,40,-0.04,-40,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9020113 9020213                  1.655E+00         +1.6E-02 -1.6E-02  2.5E-01           +4.0E-02 -4.0E-02 a(1)(1640)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10225,,,,eta(2)(1645) 0,eta(2)(1645) 0,1.617,1617,0.005,5,-0.005,-5,0.181,181,0.011,11,-0.011,-11,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10225                          1.617E+00         +5.0E-03 -5.0E-03  1.81E-01          +1.1E-02 -1.1E-02 eta(2)(1645)        0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,30223,,,,omega(1650) 0,omega(1650) 0,1.67,1670,0.03,30,-0.03,-30,0.315,315,0.035,35,-0.035,-35,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,30223                          1.670E+00         +3.0E-02 -3.0E-02  3.15E-01          +3.5E-02 -3.5E-02 omega(1650)         0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,227,,,,omega(3)(1670) 0,omega(3)(1670) 0,1.667,1667,0.004,4,-0.004,-4,0.168,168,0.01,10,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,227                          1.667E+00         +4.0E-03 -4.0E-03  1.68E-01          +1.0E-02 -1.0E-02 omega(3)(1670)      0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10115,10215,,,"pi(2)(1670) 0,+","pi(2)(1670) 0,+",1.6706,1670.6,0.0029,2.9,-0.0012,-1.2,0.258,258,0.008,8,-0.009,-9,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"10115   10215                  1.6706E+00        +2.9E-03 -1.2E-03  2.58E-01          +8.0E-03 -9.0E-03 pi(2)(1670)       0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100333,,,,phi(1680) 0,phi(1680) 0,1.68,1680,0.02,20,-0.02,-20,0.15,150,0.05,50,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100333                          1.680E+00         +2.0E-02 -2.0E-02  1.5E-01           +5.0E-02 -5.0E-02 phi(1680)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,117,217,,,"rho(3)(1690) 0,+","rho(3)(1690) 0,+",1.6888,1688.8,0.0021,2.1,-0.0021,-2.1,0.161,161,0.01,10,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"117     217                  1.6888E+00        +2.1E-03 -2.1E-03  1.61E-01          +1.0E-02 -1.0E-02 rho(3)(1690)      0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,30113,30213,,,"rho(1700) 0,+","rho(1700) 0,+",1.72,1720,0.02,20,-0.02,-20,0.25,250,0.1,100,-0.1,-100,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"30113   30213                  1.720E+00         +2.0E-02 -2.0E-02  2.5E-01           +1.0E-01 -1.0E-01 rho(1700)         0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9000115,9000215,,,"a(2)(1700) 0,+","a(2)(1700) 0,+",1.706,1706,0.014,14,-0.014,-14,0.38,380,0.06,60,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9000115 9000215                  1.706E+00         +1.4E-02 -1.4E-02  3.8E-01           +6.0E-02 -5.0E-02 a(2)(1700)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10331,,,,f(0)(1710) 0,f(0)(1710) 0,1.733,1733,0.008,8,-0.007,-7,0.15,150,0.012,12,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10331                          1.733E+00         +8.0E-03 -7.0E-03  1.50E-01          +1.2E-02 -1.0E-02 f(0)(1710)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010111,9010211,,,"pi(1800) 0,+","pi(1800) 0,+",1.81,1810,0.009,9,-0.011,-11,0.215,215,0.007,7,-0.008,-8,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9010111 9010211                  1.810E+00         +9.0E-03 -1.1E-02  2.15E-01          +7.0E-03 -8.0E-03 pi(1800)          0,+",2026-06-01T21:38:11+00:00
